ID_Venta,Fecha,Hora,Sucursal,Nombre_Producto,Categoría_Producto,Tamaño,Cantidad,Precio_Unitario,Total_Venta,Método_de_Compra,Método_de_Pago,Cliente_Miembro,Descuento_Miembro,Promoción_Aplicada,Empleado_Atendió,Turno,Demora_Preparación_Min,Satisfacción_Cliente,Stock_Antes,Stock_Después
VTA00035,2025-02-25,10:38,Avenida Colón 608,Americano Helado,Bebida Espresso Helada,Grande,5,1614.9,8074.5,Take Away,Efectivo,Sí,0,Happy Hour,Julián,Tarde,10.6,3,29,24
VTA00036,2025-01-28,20:22,Avenida Colón 608,Moneda de Chocolate,Snacks,,1,893.44,893.44,Take Away,App,No,0,Combo,Luis,Tarde,14.0,2,25,24
VTA00037,2025-02-13,09:55,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Grande,4,1549.85,6199.4,En tienda,Tarjeta,No,0,2x1,Florencia,Tarde,9.5,3,36,32
VTA00038,2025-01-27,09:41,Calle San Lorenzo 47,House Blend,Café en Granos,,1,2147.3,2147.3,Delivery,Efectivo,No,0,2x1,Julián,Tarde,8.2,3,27,26
VTA00039,2025-02-24,13:02,Córdoba Shopping,Té Verde en Hebras,Té,,2,1955.73,3911.46,En tienda,Efectivo,No,0,Happy Hour,Sofía,Noche,4.8,2,46,44
VTA00040,2025-01-16,12:22,"San Lorenzo 25, Nueva Córdoba",Croissant Relleno con Crema de Avellanas,Bakery,,2,1481.18,2962.36,Delivery,App,Sí,15,2x1,Camila,Mañana,13.6,5,18,16
VTA00041,2025-03-10,17:04,Córdoba Shopping,Taza Edición Especial,Merchandising,,2,3247.8,6495.6,En tienda,Efectivo,No,0,Combo,Marcos,Tarde,3.2,3,16,14
VTA00042,2025-03-02,16:08,Avenida Colón 608,Té Verde,Té Caliente,,2,1271.73,2543.46,Take Away,Efectivo,No,0,Happy Hour,Camila,Noche,8.3,3,22,20
VTA00043,2025-03-29,17:56,Calle San Lorenzo 47,Termo Reutilizable,Merchandising,,1,2954.53,2954.53,Take Away,Tarjeta,Sí,15,Happy Hour,Julián,Noche,11.6,1,13,12
VTA00044,2025-02-26,20:59,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Tall,1,1956.29,1956.29,Delivery,Tarjeta,No,0,Ninguna,Luis,Mañana,13.2,2,23,22
VTA00045,2025-01-04,20:44,Calle San Lorenzo 47,Té Helado de Hibiscus,Té Helado,,3,1644.6,4933.8,Delivery,App,Sí,0,Ninguna,Julián,Mañana,7.5,1,12,9
VTA00046,2025-01-14,17:35,Calle San Lorenzo 47,Caramel Frappuccino,Frappuccino,Grande,1,1968.29,1968.29,Take Away,Efectivo,Sí,15,Combo,Florencia,Noche,11.5,5,36,35
VTA00047,2025-02-05,07:50,Córdoba Shopping,Termo Reutilizable,Merchandising,,2,3498.88,6997.76,En tienda,App,Sí,15,Happy Hour,Julián,Tarde,5.0,1,31,29
VTA00048,2025-02-14,12:19,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Venti,2,1726.28,3452.56,Take Away,Efectivo,No,0,Happy Hour,Julián,Tarde,5.2,1,50,48
VTA00049,2025-04-12,14:01,Córdoba Shopping,Té Verde en Hebras,Té,,3,1734.67,5204.01,Delivery,Tarjeta,No,0,2x1,Luis,Mañana,6.0,4,42,39
VTA00050,2025-01-18,09:29,"San Lorenzo 25, Nueva Córdoba",Latte Helado,Bebida Espresso Helada,Tall,5,1734.54,8672.7,Delivery,App,No,0,Happy Hour,Luis,Tarde,2.2,4,38,33
VTA00051,2025-01-30,20:27,"San Lorenzo 25, Nueva Córdoba",Caramel Frappuccino,Frappuccino,Pequeño,2,1649.83,3299.66,En tienda,Efectivo,No,0,Combo,Sofía,Tarde,5.2,3,21,19
VTA00052,2025-02-18,14:10,"San Lorenzo 25, Nueva Córdoba",Latte Macchiato,Bebida Espresso Caliente,Venti,2,1281.6,2563.2,Delivery,Efectivo,No,0,Happy Hour,Luis,Noche,4.1,4,38,36
VTA00053,2025-01-03,12:37,Avenida Colón 608,Mix de Frutos Secos,Snacks,,1,1122.93,1122.93,En tienda,Efectivo,No,0,Happy Hour,Sofía,Tarde,3.9,2,30,29
VTA00054,2025-04-08,09:50,Calle San Lorenzo 47,Té Verde,Té Caliente,,1,1473.91,1473.91,En tienda,Efectivo,No,0,Combo,Julián,Tarde,4.6,5,12,11
VTA00055,2025-03-25,12:06,Calle San Lorenzo 47,Té Helado de Hibiscus,Té Helado,,2,1452.78,2905.56,Take Away,Tarjeta,Sí,15,Ninguna,Sofía,Tarde,3.3,2,38,36
VTA00056,2025-03-22,08:31,"San Lorenzo 25, Nueva Córdoba",House Blend,Café en Granos,,2,2359.63,4719.26,Delivery,Efectivo,No,0,Ninguna,Florencia,Noche,7.0,4,32,30
VTA00057,2025-03-01,19:42,"San Lorenzo 25, Nueva Córdoba",Té Verde en Hebras,Té,,5,1848.28,9241.4,En tienda,Tarjeta,Sí,10,Ninguna,Julián,Tarde,6.6,4,28,23
VTA00058,2025-04-01,20:06,"San Lorenzo 25, Nueva Córdoba",Taza Edición Especial,Merchandising,,3,3072.13,9216.39,Take Away,Efectivo,Sí,0,Happy Hour,Luis,Tarde,12.3,5,15,12
VTA00059,2025-04-15,08:08,Córdoba Shopping,Fosforito de Jamón y Queso,Sándwiches,,5,1558.37,7791.85,Take Away,Tarjeta,Sí,0,2x1,Sofía,Noche,7.1,3,45,40
VTA00060,2025-04-10,13:04,Córdoba Shopping,Latte Macchiato,Bebida Espresso Caliente,Grande,5,1246.11,6230.55,En tienda,App,Sí,15,2x1,Julián,Noche,8.6,1,12,7
VTA00061,2025-04-05,16:43,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,1,1430.92,1430.92,Delivery,App,Sí,15,Happy Hour,Camila,Noche,9.9,4,38,37
VTA00062,2025-01-28,10:50,Córdoba Shopping,Croissant Relleno con Crema de Avellanas,Bakery,,1,1238.02,1238.02,Take Away,App,No,0,Ninguna,Luis,Noche,2.3,5,36,35
VTA00063,2025-03-14,20:04,Córdoba Shopping,House Blend,Café en Granos,,3,2933.07,8799.21,Delivery,App,Sí,10,Combo,Luis,Tarde,9.0,1,18,15
VTA00064,2025-02-14,19:26,Calle San Lorenzo 47,Café del Día,Bebida Espresso Caliente,Grande,1,1745.08,1745.08,Take Away,Efectivo,Sí,10,Combo,Luis,Tarde,14.1,3,25,24
VTA00065,2025-03-12,09:08,Calle San Lorenzo 47,Té Verde en Hebras,Té,,2,1757.28,3514.56,En tienda,App,Sí,0,Ninguna,Sofía,Mañana,3.2,1,49,47
VTA00066,2025-02-04,17:56,Calle San Lorenzo 47,Wrap de Pollo y Vegetales,Sándwiches,,1,1949.54,1949.54,En tienda,App,Sí,10,2x1,Luis,Noche,9.7,1,42,41
VTA00067,2025-01-18,14:33,Calle San Lorenzo 47,Cookie con Chips de Chocolate,Bakery,,5,1114.07,5570.35,En tienda,App,Sí,0,Combo,Luis,Mañana,2.1,1,41,36
VTA00068,2025-03-02,16:44,Córdoba Shopping,Muffin de Arándanos,Bakery,,1,1350.79,1350.79,Delivery,App,Sí,10,2x1,Sofía,Tarde,5.8,1,34,33
VTA00069,2025-04-07,14:01,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,1,1353.88,1353.88,Delivery,Tarjeta,Sí,0,2x1,Florencia,Tarde,12.8,5,38,37
VTA00070,2025-02-21,17:24,Córdoba Shopping,Cookie con Chips de Chocolate,Bakery,,1,1205.79,1205.79,En tienda,Tarjeta,No,0,Ninguna,Florencia,Mañana,6.5,5,19,18
VTA00071,2025-01-06,13:16,"San Lorenzo 25, Nueva Córdoba",Cappuccino,Bebida Espresso Caliente,Grande,2,1251.61,2503.22,En tienda,App,No,0,2x1,Florencia,Noche,10.5,5,10,8
VTA00072,2025-04-11,07:44,Avenida Colón 608,Té Helado de Hibiscus,Té Helado,,1,1463.52,1463.52,En tienda,Tarjeta,No,0,Combo,Luis,Mañana,8.8,4,12,11
VTA00073,2025-01-19,08:37,Calle San Lorenzo 47,Té Verde,Té Caliente,,4,1252.27,5009.08,Take Away,Efectivo,Sí,10,2x1,Luis,Noche,13.6,2,28,24
VTA00074,2025-01-09,10:18,"San Lorenzo 25, Nueva Córdoba",Vainilla Latte,Bebida Espresso Caliente,Tall,4,1675.78,6703.12,En tienda,App,Sí,10,2x1,Camila,Noche,12.9,5,25,21
VTA00075,2025-01-13,20:37,"San Lorenzo 25, Nueva Córdoba",Espresso Roast,Café en Granos,,4,2504.64,10018.56,Delivery,Tarjeta,Sí,0,Happy Hour,Julián,Mañana,2.8,2,37,33
VTA00076,2025-01-25,09:27,Calle San Lorenzo 47,Té Chai Latte,Té Caliente,,5,1051.71,5258.55,Delivery,Tarjeta,Sí,0,Combo,Sofía,Tarde,4.4,1,49,44
VTA00077,2025-02-22,15:05,Calle San Lorenzo 47,Moneda de Chocolate,Snacks,,2,1273.0,2546.0,Take Away,Tarjeta,No,0,Ninguna,Florencia,Tarde,14.6,5,30,28
VTA00078,2025-02-26,16:35,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Pequeño,5,1902.77,9513.85,Take Away,App,No,0,Ninguna,Marcos,Noche,13.8,1,33,28
VTA00079,2025-04-18,16:28,Calle San Lorenzo 47,Caramel Frappuccino,Frappuccino,Pequeño,4,1618.96,6475.84,Take Away,Efectivo,Sí,15,2x1,Marcos,Noche,5.3,5,19,15
VTA00080,2025-02-03,19:42,Avenida Colón 608,Té Verde en Hebras,Té,,4,2180.29,8721.16,Take Away,Tarjeta,No,0,2x1,Camila,Tarde,9.5,2,22,18
VTA00081,2025-04-04,07:03,Córdoba Shopping,Café del Día,Bebida Espresso Caliente,Grande,4,1334.63,5338.52,Delivery,Tarjeta,Sí,0,Happy Hour,Marcos,Noche,10.8,3,38,34
VTA00082,2025-02-17,13:41,"San Lorenzo 25, Nueva Córdoba",Té Chai Latte,Té Caliente,,1,1469.5,1469.5,En tienda,Efectivo,Sí,10,Ninguna,Florencia,Mañana,10.3,5,18,17
VTA00083,2025-04-04,12:10,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,5,1408.36,7041.8,En tienda,Efectivo,Sí,0,Ninguna,Florencia,Mañana,6.8,2,21,16
VTA00084,2025-01-01,16:43,"San Lorenzo 25, Nueva Córdoba",Té Chai Latte,Té Caliente,,3,1407.91,4223.73,En tienda,Efectivo,Sí,10,2x1,Florencia,Noche,13.8,1,21,18
VTA00085,2025-01-11,18:47,Córdoba Shopping,Wrap de Pollo y Vegetales,Sándwiches,,4,1656.73,6626.92,Take Away,Efectivo,Sí,15,Happy Hour,Luis,Mañana,2.1,4,42,38
VTA00086,2025-04-15,20:56,Avenida Colón 608,Taza Edición Especial,Merchandising,,4,2674.42,10697.68,Delivery,Efectivo,No,0,Combo,Julián,Tarde,3.0,3,48,44
VTA00087,2025-03-23,10:24,Avenida Colón 608,Té Verde,Té Caliente,,2,1389.91,2779.82,Delivery,App,Sí,0,Combo,Camila,Tarde,14.7,2,34,32
VTA00088,2025-02-28,09:16,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,3,2988.34,8965.02,Delivery,App,Sí,10,Ninguna,Camila,Mañana,2.4,1,20,17
VTA00089,2025-02-14,19:03,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,2,2367.92,4735.84,En tienda,Efectivo,No,0,Happy Hour,Sofía,Mañana,3.7,5,15,13
VTA00090,2025-02-08,09:12,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Pequeño,5,1723.88,8619.4,Take Away,Efectivo,No,0,Happy Hour,Marcos,Noche,7.1,4,25,20
VTA00091,2025-03-30,09:23,Córdoba Shopping,Moneda de Chocolate,Snacks,,1,994.81,994.81,Take Away,Tarjeta,Sí,0,Happy Hour,Camila,Noche,9.7,3,12,11
VTA00092,2025-02-10,07:53,Córdoba Shopping,Té Helado de Hibiscus,Té Helado,,5,1334.26,6671.3,Delivery,Tarjeta,Sí,0,Ninguna,Sofía,Noche,4.6,1,21,16
VTA00093,2025-03-14,08:34,Calle San Lorenzo 47,Caramel Frappuccino,Frappuccino,Grande,3,1995.84,5987.52,En tienda,Tarjeta,Sí,15,Combo,Julián,Mañana,7.0,2,36,33
VTA00094,2025-02-17,10:51,"San Lorenzo 25, Nueva Córdoba",Latte Macchiato,Bebida Espresso Caliente,Pequeño,3,1669.93,5009.79,Delivery,Efectivo,No,0,Ninguna,Julián,Tarde,6.0,4,35,32
VTA00095,2025-02-21,20:40,"San Lorenzo 25, Nueva Córdoba",Muffin de Arándanos,Bakery,,1,1224.82,1224.82,Delivery,Tarjeta,No,0,Combo,Sofía,Noche,2.6,5,28,27
VTA00096,2025-02-11,17:34,Córdoba Shopping,House Blend,Café en Granos,,4,2842.51,11370.04,Delivery,Tarjeta,Sí,0,Combo,Marcos,Noche,6.9,3,10,6
VTA00097,2025-02-17,08:13,Córdoba Shopping,Té Verde en Hebras,Té,,5,1835.35,9176.75,Delivery,Tarjeta,Sí,0,2x1,Julián,Tarde,13.7,1,37,32
VTA00098,2025-04-07,07:19,Calle San Lorenzo 47,Caramel Frappuccino,Frappuccino,Grande,4,1848.25,7393.0,Take Away,Tarjeta,No,0,Happy Hour,Sofía,Noche,9.0,5,11,7
VTA00099,2025-02-03,17:01,"San Lorenzo 25, Nueva Córdoba",Latte Helado,Bebida Espresso Helada,Pequeño,5,1428.45,7142.25,En tienda,Efectivo,Sí,0,Happy Hour,Julián,Noche,14.7,1,30,25
VTA00100,2025-01-16,20:41,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,3,2727.96,8183.88,Take Away,Tarjeta,Sí,0,Combo,Camila,Tarde,11.3,5,49,46
VTA00101,2025-03-01,20:38,Calle San Lorenzo 47,Muffin de Arándanos,Bakery,,2,1267.67,2535.34,Delivery,App,Sí,15,Ninguna,Camila,Mañana,2.3,4,21,19
VTA00102,2025-01-21,11:48,"San Lorenzo 25, Nueva Córdoba",Muffin de Arándanos,Bakery,,1,1264.53,1264.53,Take Away,App,No,0,Happy Hour,Marcos,Tarde,11.5,3,50,49
VTA00103,2025-04-04,19:13,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,5,1549.17,7745.85,Delivery,Tarjeta,No,0,Ninguna,Florencia,Tarde,4.1,5,28,23
VTA00104,2025-02-25,12:07,Avenida Colón 608,Latte Helado,Bebida Espresso Helada,Tall,3,1745.07,5235.21,En tienda,App,No,0,Combo,Florencia,Mañana,11.7,3,35,32
VTA00105,2025-03-02,16:55,Avenida Colón 608,Moneda de Chocolate,Snacks,,1,746.65,746.65,En tienda,Efectivo,Sí,10,Happy Hour,Camila,Mañana,6.8,4,28,27
VTA00106,2025-01-19,10:43,Avenida Colón 608,Budín de Limón,Bakery,,5,1313.82,6569.1,Delivery,Efectivo,Sí,15,Ninguna,Luis,Noche,9.8,5,42,37
VTA00107,2025-03-23,16:44,"San Lorenzo 25, Nueva Córdoba",Cold Brew,Bebida Espresso Helada,Venti,3,1653.51,4960.53,Delivery,Tarjeta,No,0,Ninguna,Sofía,Tarde,6.2,1,26,23
VTA00108,2025-01-31,16:31,Calle San Lorenzo 47,Bagel Sandwich,Sándwiches,,1,1555.47,1555.47,En tienda,App,No,0,Happy Hour,Sofía,Mañana,2.6,4,27,26
VTA00109,2025-03-14,18:25,Córdoba Shopping,House Blend,Café en Granos,,3,2848.38,8545.14,Take Away,Tarjeta,No,0,Happy Hour,Sofía,Mañana,2.0,4,40,37
VTA00110,2025-03-08,11:52,"San Lorenzo 25, Nueva Córdoba",Fosforito de Jamón y Queso,Sándwiches,,3,1643.71,4931.13,Delivery,Efectivo,No,0,Combo,Camila,Tarde,10.3,1,22,19
VTA00111,2025-03-20,19:08,Córdoba Shopping,Termo Reutilizable,Merchandising,,5,3143.3,15716.5,Take Away,Efectivo,Sí,15,Combo,Sofía,Tarde,10.1,1,46,41
VTA00112,2025-02-13,17:23,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,5,2652.91,13264.55,Delivery,App,No,0,Ninguna,Julián,Mañana,4.1,2,47,42
VTA00113,2025-01-20,09:53,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Venti,5,1776.46,8882.3,En tienda,Tarjeta,No,0,2x1,Julián,Tarde,12.0,3,24,19
VTA00114,2025-03-31,08:22,Córdoba Shopping,House Blend,Café en Granos,,4,2760.16,11040.64,Take Away,Tarjeta,Sí,10,Happy Hour,Marcos,Noche,12.4,4,32,28
VTA00115,2025-04-06,11:27,"San Lorenzo 25, Nueva Córdoba",Moneda de Chocolate,Snacks,,1,746.05,746.05,Delivery,Tarjeta,No,0,Combo,Luis,Tarde,10.1,5,25,24
VTA00116,2025-01-16,15:01,"San Lorenzo 25, Nueva Córdoba",Croissant Relleno con Crema de Avellanas,Bakery,,2,1480.17,2960.34,En tienda,Tarjeta,Sí,15,2x1,Florencia,Noche,4.6,5,14,12
VTA00117,2025-03-22,19:27,"San Lorenzo 25, Nueva Córdoba",Mocha,Bebida Espresso Caliente,Venti,2,1692.98,3385.96,En tienda,Tarjeta,Sí,10,2x1,Florencia,Mañana,12.6,4,16,14
VTA00118,2025-02-03,10:02,Calle San Lorenzo 47,Moneda de Chocolate,Snacks,,3,1292.78,3878.34,Take Away,App,No,0,Ninguna,Marcos,Noche,14.2,2,33,30
VTA00119,2025-03-29,15:46,Calle San Lorenzo 47,Té Helado de Hibiscus,Té Helado,,2,1572.15,3144.3,Delivery,Efectivo,Sí,0,Combo,Julián,Tarde,4.3,5,42,40
VTA00120,2025-03-05,15:37,Avenida Colón 608,Fosforito de Jamón y Queso,Sándwiches,,1,1831.52,1831.52,Delivery,Efectivo,No,0,Happy Hour,Sofía,Noche,14.0,1,43,42
VTA00121,2025-03-02,12:04,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,4,3450.23,13800.92,Take Away,App,No,0,Ninguna,Julián,Mañana,10.4,5,39,35
VTA00122,2025-02-19,15:06,Avenida Colón 608,Skinny Vainilla Latte Helado,Bebida Espresso Helada,Grande,3,1315.23,3945.69,Take Away,Efectivo,No,0,Combo,Julián,Mañana,13.7,3,32,29
VTA00123,2025-02-28,16:54,Córdoba Shopping,Taza Edición Especial,Merchandising,,3,2831.66,8494.98,En tienda,Tarjeta,Sí,0,Happy Hour,Luis,Noche,3.7,2,36,33
VTA00124,2025-01-12,12:59,Avenida Colón 608,Cold Brew,Bebida Espresso Helada,Venti,5,1831.8,9159.0,En tienda,App,Sí,10,2x1,Marcos,Noche,10.1,1,32,27
VTA00125,2025-03-03,15:09,"San Lorenzo 25, Nueva Córdoba",Vainilla Latte,Bebida Espresso Caliente,Tall,4,1755.75,7023.0,Delivery,App,No,0,2x1,Marcos,Mañana,8.7,3,21,17
VTA00126,2025-04-01,20:34,Avenida Colón 608,Caramel Frappuccino,Frappuccino,Pequeño,2,1884.23,3768.46,Take Away,Efectivo,Sí,15,Happy Hour,Florencia,Tarde,8.8,4,47,45
VTA00127,2025-01-20,11:00,Córdoba Shopping,Té Verde en Hebras,Té,,1,2170.57,2170.57,Take Away,App,Sí,0,Happy Hour,Marcos,Noche,6.7,3,17,16
VTA00128,2025-01-27,18:09,Avenida Colón 608,Té Verde,Té Caliente,,5,1042.22,5211.1,Delivery,App,No,0,Happy Hour,Julián,Noche,8.0,2,37,32
VTA00129,2025-03-21,09:22,"San Lorenzo 25, Nueva Córdoba",Moneda de Chocolate,Snacks,,4,916.37,3665.48,Delivery,App,No,0,Happy Hour,Luis,Noche,13.9,3,49,45
VTA00130,2025-02-07,12:35,Córdoba Shopping,Bagel Sandwich,Sándwiches,,3,1881.88,5645.64,Take Away,App,Sí,15,2x1,Sofía,Noche,8.4,4,16,13
VTA00131,2025-02-08,08:41,Córdoba Shopping,Flat White,Bebida Espresso Caliente,Venti,5,1325.45,6627.25,Delivery,App,No,0,Ninguna,Camila,Tarde,11.7,5,40,35
VTA00132,2025-03-14,08:43,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Grande,3,1581.49,4744.47,Delivery,Efectivo,No,0,Happy Hour,Florencia,Noche,9.5,1,14,11
VTA00133,2025-03-24,19:37,Calle San Lorenzo 47,Taza Edición Especial,Merchandising,,3,3274.52,9823.56,En tienda,Efectivo,No,0,Ninguna,Camila,Noche,4.7,3,19,16
VTA00134,2025-04-14,15:19,Avenida Colón 608,Espresso Roast,Café en Granos,,1,2635.13,2635.13,Take Away,Efectivo,Sí,0,Ninguna,Sofía,Noche,2.4,2,42,41
